Mobile_Name,Mobile_Price,Rating,Image_URL
"Samsung Galaxy M11 (Violet, 4GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offers","₹16,999",4.0 out of 5 stars,https://m.media-amazon.com/images/I/718dLm80KcL._AC_UL320_.jpg
"OPPO A15s (Rainbow Silver, 4GB RAM, 64GB Storage) With No Cost EMI/Additional Exchange Offers","₹17,499",3.8 out of 5 stars,https://m.media-amazon.com/images/I/71zbz1O+hqL._AC_UL320_.jpg
"Samsung Galaxy A21s (Black, 4GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offers","₹20,999",4.2 out of 5 stars,https://m.media-amazon.com/images/I/81zb1bxd6NL._AC_UL320_.jpg
"Vivo Y20i (Nebula Blue, 3GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offers","₹12,999",4.0 out of 5 stars,https://m.media-amazon.com/images/I/71INGYhIf0L._AC_UL320_.jpg
"OPPO A15s (Dynamic Black, 4GB RAM, 64GB Storage) With No Cost EMI/Additional Exchange Offers","₹16,999",4.1 out of 5 stars,https://m.media-amazon.com/images/I/7136zgtNmJL._AC_UL320_.jpg
"OPPO A53 (Electric Black, 4GB RAM, 64GB Storage)","₹13,499",3.3 out of 5 stars,https://m.media-amazon.com/images/I/71pu5oj8MvL._AC_UL320_.jpg
"Coolpad Cool 6 Silver, 4GB RAM, 64GB Storage","₹15,499",3.3 out of 5 stars,https://m.media-amazon.com/images/I/61R1y8EotxL._AC_UL320_.jpg
"LG W41 (Magic Blue, 48 MP Quad Camera, 4GB RAM, 64GB Storage)","₹10,499",3.8 out of 5 stars,https://m.media-amazon.com/images/I/614+W18ms+L._AC_UL320_.jpg
"Samsung Galaxy A21s (Blue, 4GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offers","₹13,999",4.0 out of 5 stars,https://m.media-amazon.com/images/I/811RH5e-snL._AC_UL320_.jpg
"Samsung Galaxy M20 (Ocean Blue , 4GB RAM, 64GB Storage, 5000mAH Battery)","₹12,999",4.1 out of 5 stars,https://m.media-amazon.com/images/I/61nzw1i2taL._AC_UL320_.jpg
"Redmi 9 Power (Fiery Red, 4GB RAM, 128GB Storage) - 6000mAh Battery |FHD+ Screen| 48MP Quad Camera | Snapdragon 662 Processor","₹16,999",4.0 out of 5 stars,https://m.media-amazon.com/images/I/71hEzQGO5qL._AC_UL320_.jpg
"Realme 7 Pro (Mirror Blue, 128 GB) (6 GB RAM)","₹13,989",4.1 out of 5 stars,https://m.media-amazon.com/images/I/41OSd5k+rML._AC_UL320_.jpg
"Samsung Galaxy A31 (Prism Crush White, 6GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","₹16,999",3.9 out of 5 stars,https://m.media-amazon.com/images/I/816-h37brML._AC_UL320_.jpg
"Vivo Y51A (Crystal Symphony, 8GB, 128GB Storage) with No Cost EMI/Additional Exchange Offers","₹10,999",4.2 out of 5 stars,https://m.media-amazon.com/images/I/71qS3BpgZTL._AC_UL320_.jpg
